Time,Step,Training loss,Validation loss,Full Validation loss
21:22:12,1958,0.4289,-,-
21:22:10,1957,0.6859,-,-
21:22:10,1956,0.1821,-,-
21:22:08,1955,0.3698,-,-
21:22:06,1954,0.2722,-,-
21:22:04,1953,0.4227,-,-
21:22:02,1952,0.4243,-,-
21:22:02,1951,0.4314,-,-
21:22:00,1950,0.2217,-,-
21:21:58,1949,0.5448,-,-
21:21:56,1948,0.3269,-,-
21:21:56,1947,0.3041,-,-
21:21:54,1946,0.3105,-,-
21:21:52,1945,0.2516,-,-
21:21:50,1944,0.2888,-,-
21:21:50,1943,0.2637,-,-
21:21:48,1942,0.3752,-,-
21:21:46,1941,0.2848,-,-
21:21:44,1940,0.2467,-,-
21:21:42,1939,0.3682,-,-
21:21:42,1938,0.492,-,-
21:21:40,1937,0.2173,-,-
21:21:38,1936,0.277,-,-
21:21:36,1935,0.4908,-,-
21:21:36,1934,0.2466,-,-
21:21:34,1933,0.1684,-,-
21:21:32,1932,0.2871,-,-
21:21:30,1931,0.4573,-,-
21:21:28,1930,0.1225,-,-
21:21:28,1929,0.2436,-,-
21:21:26,1928,0.2982,-,-
21:21:24,1927,0.3748,-,-
21:21:22,1926,0.2502,-,-
21:21:20,1925,0.3419,-,-
21:21:20,1924,0.5626,-,-
21:21:18,1923,0.4355,-,-
21:21:15,1922,0.209,-,-
21:21:13,1921,0.4875,-,-
21:21:13,1920,0.2084,-,-
21:21:11,1919,0.3662,-,-
21:21:09,1918,0.5997,-,-
21:21:07,1917,0.2574,-,-
21:21:07,1916,0.1478,-,-
21:21:05,1915,0.3029,-,-
21:21:03,1914,0.1739,-,-
21:21:01,1913,0.399,-,-
21:20:59,1912,0.7063,-,-
21:20:59,1911,0.5208,-,-
21:20:57,1910,0.6998,-,-
21:20:55,1909,0.4299,-,-
21:20:53,1908,0.1187,-,-
21:20:53,1907,0.2125,-,-
21:20:51,1906,0.3914,-,-
21:20:49,1905,0.1756,-,-
21:20:47,1904,0.2049,-,-
21:20:45,1903,0.2246,-,-
21:20:45,1902,0.3508,-,-
21:20:43,1901,0.245,-,-
21:20:41,1900,0.2368,0.559,-
21:20:39,1899,0.1571,-,-
21:20:37,1898,0.4999,-,-
21:20:37,1897,0.3594,-,-
21:20:35,1896,0.095,-,-
21:20:33,1895,0.2505,-,-
21:20:31,1894,0.1923,-,-
21:20:29,1893,0.4337,-,-
21:20:29,1892,0.405,-,-
21:20:27,1891,0.6196,-,-
21:20:25,1890,0.298,-,-
21:20:23,1889,0.2617,-,-
21:20:23,1888,0.6188,-,-
21:20:21,1887,0.387,-,-
21:20:19,1886,0.2323,-,-
21:20:17,1885,0.3546,-,-
21:20:15,1884,0.3566,-,-
21:20:15,1883,0.3,-,-
21:20:13,1882,0.276,-,-
21:20:11,1881,0.256,-,-
21:20:09,1880,0.3067,-,-
21:20:07,1879,0.38,-,-
21:20:07,1878,0.2131,-,-
21:20:05,1877,0.1934,-,-
21:20:03,1876,0.1536,-,-
21:20:01,1875,0.2104,-,-
21:19:59,1874,0.3625,-,-
21:19:59,1873,0.4077,-,-
21:19:57,1872,0.259,-,-
21:19:55,1871,0.2648,-,-
21:19:53,1870,0.4727,-,-
21:19:53,1869,0.3197,-,-
21:19:51,1868,0.4082,-,-
21:19:49,1867,0.43,-,-
21:19:47,1866,0.2048,-,-
21:19:45,1865,0.3259,-,-
21:19:45,1864,0.158,-,-
21:19:43,1863,0.2311,-,-
21:19:41,1862,0.426,-,-
21:19:39,1861,0.3162,-,-
21:19:39,1860,0.3745,-,-
21:19:37,1859,0.3158,-,-
21:19:35,1858,0.237,-,-
21:19:33,1857,0.2516,-,-
21:19:31,1856,0.2923,-,-
21:19:31,1855,0.27,-,-
21:19:29,1854,0.3722,-,-
21:19:27,1853,0.4104,-,-
21:19:25,1852,0.3602,-,-
21:19:25,1851,0.3714,-,-
21:19:22,1850,0.5047,-,-
21:19:20,1849,0.3168,-,-
21:19:18,1848,0.3169,-,-
21:19:16,1847,0.4656,-,-
21:19:16,1846,0.4025,-,-
21:19:14,1845,0.2251,-,-
21:19:12,1844,0.3255,-,-
21:19:10,1843,0.6703,-,-
21:19:10,1842,0.471,-,-
21:19:08,1841,0.3829,-,-
21:19:06,1840,0.2043,-,-
21:19:04,1839,0.3656,-,-
21:19:02,1838,0.3552,-,-
21:19:02,1837,0.2722,-,-
21:19:00,1836,0.2389,-,-
21:18:58,1835,0.2697,-,-
21:18:56,1834,0.3827,-,-
21:18:56,1833,0.3014,-,-
21:18:54,1832,0.4757,-,-
21:18:52,1831,0.1747,-,-
21:18:50,1830,0.4495,-,-
21:18:48,1829,0.4064,-,-
21:18:48,1828,0.3323,-,-
21:18:46,1827,0.2405,-,-
21:18:44,1826,0.2334,-,-
21:18:42,1825,0.1882,-,-
21:18:42,1824,0.3076,-,-
21:18:40,1823,0.1552,-,-
21:18:38,1822,0.1704,-,-
21:18:36,1821,0.2303,-,-
21:18:34,1820,0.501,-,-
21:18:34,1819,0.3823,-,-
21:18:32,1818,0.3001,-,-
21:18:30,1817,0.4249,-,-
21:18:28,1816,0.2764,-,-
21:18:28,1815,0.2061,-,-
21:18:26,1814,0.2069,-,-
21:18:24,1813,0.2915,-,-
21:18:22,1812,0.3351,-,-
21:18:22,1811,0.2302,-,-
21:18:20,1810,0.2215,-,-
21:18:18,1809,0.3225,-,-
21:18:16,1808,0.6036,-,-
21:18:14,1807,0.4479,-,-
21:18:14,1806,0.2481,-,-
21:18:12,1805,0.2439,-,-
21:18:10,1804,0.198,-,-
21:18:08,1803,0.1994,-,-
21:18:08,1802,0.1821,-,-
21:18:06,1801,0.3757,-,-
21:18:04,1800,0.5116,0.4122,-
21:18:02,1799,0.2099,-,-
21:18:00,1798,0.1256,-,-
21:17:58,1797,0.1868,-,-
21:17:58,1796,0.2258,-,-
21:17:56,1795,0.2192,-,-
21:17:54,1794,0.4997,-,-
21:17:52,1793,0.2812,-,-
21:17:52,1792,0.3629,-,-
21:17:50,1791,0.4678,-,-
21:17:48,1790,0.2347,-,-
21:17:46,1789,0.4183,-,-
21:17:44,1788,0.5588,-,-
21:17:44,1787,0.3984,-,-
21:17:42,1786,0.3177,-,-
21:17:40,1785,0.1844,-,-
21:17:38,1784,0.2442,-,-
21:17:38,1783,0.295,-,-
21:17:36,1782,0.2808,-,-
21:17:34,1781,0.449,-,-
21:17:31,1780,0.3723,-,-
21:17:31,1779,0.313,-,-
21:17:29,1778,0.5241,-,-
21:17:27,1777,0.4283,-,-
21:17:25,1776,0.3782,-,-
21:17:23,1775,0.3607,-,-
21:17:23,1774,0.3463,-,-
21:17:21,1773,0.4795,-,-
21:17:19,1772,0.2625,-,-
21:17:17,1771,0.3805,-,-
21:17:17,1770,0.2328,-,-
21:17:15,1769,0.3946,-,-
21:17:13,1768,0.2715,-,-
21:17:11,1767,0.1556,-,-
21:17:09,1766,0.2375,-,-
21:17:09,1765,0.4163,-,-
21:17:07,1764,0.6702,-,-
21:17:05,1763,0.2272,-,-
21:17:03,1762,0.5622,-,-
21:17:03,1761,0.3256,-,-
21:17:01,1760,0.2961,-,-
21:16:59,1759,0.1986,-,-
21:16:57,1758,0.4116,-,-
21:16:57,1757,0.3496,-,-
21:16:55,1756,0.4072,-,-
21:16:53,1755,0.2316,-,-
21:16:51,1754,0.3803,-,-
21:16:51,1753,0.4036,-,-
21:16:49,1752,0.4242,-,-
21:16:47,1751,0.3988,-,-
21:16:45,1750,0.2617,-,-
21:16:43,1749,0.3199,-,-
21:16:43,1748,0.6391,-,-
21:16:41,1747,0.2135,-,-
21:16:39,1746,0.2168,-,-
21:16:37,1745,0.4444,-,-
21:16:37,1744,0.2443,-,-
21:16:35,1743,0.2147,-,-
21:16:33,1742,0.3583,-,-
21:16:31,1741,0.3891,-,-
21:16:29,1740,0.1388,-,-
21:16:29,1739,0.4691,-,-
21:16:27,1738,0.1718,-,-
21:16:25,1737,0.3769,-,-
21:16:23,1736,0.3611,-,-
21:16:23,1735,0.4453,-,-
21:16:21,1734,0.2835,-,-
21:16:19,1733,0.3725,-,-
21:16:17,1732,0.3231,-,-
21:16:15,1731,0.178,-,-
21:16:15,1730,0.2038,-,-
21:16:13,1729,0.6122,-,-
21:16:11,1728,0.1507,-,-
21:16:09,1727,0.1679,-,-
21:16:09,1726,0.2614,-,-
21:16:07,1725,0.2058,-,-
21:16:05,1724,0.3711,-,-
21:16:03,1723,0.1815,-,-
21:16:01,1722,0.2046,-,-
21:16:01,1721,0.461,-,-
21:15:45,1720,0.2552,-,-
21:15:45,1719,0.1742,-,-
21:15:43,1718,0.372,-,-
21:15:41,1717,0.1776,-,-
21:15:39,1716,0.2006,-,-
21:15:37,1715,0.3385,-,-
21:15:37,1714,0.3023,-,-
21:15:34,1713,0.3023,-,-
21:15:32,1712,0.2298,-,-
21:15:30,1711,0.465,-,-
